amount,payment_method,bank,hour,user_success_rate,success
960,2,0,8,0.9846239322199795,1
3872,1,2,14,0.8809456190884433,0
3192,1,4,12,0.7613238931583266,0
566,1,0,9,0.81519754183136,1
4526,2,3,19,0.9555382736119524,0
3544,0,4,23,0.9718264730802495,0
3271,2,4,12,0.978277691225397,0
3019,2,2,16,0.7379491397417653,0
230,0,4,6,0.5692981549056655,0
1785,0,1,5,0.3932071902694099,0
869,0,0,12,0.5698836009382819,0
2491,1,1,16,0.9600688183149333,1
2533,2,2,14,0.9228579564146726,1
1284,0,2,3,0.6665617634440151,1
4655,2,0,14,0.6759051006157468,0
3485,1,4,13,0.5162442447164786,0
4217,1,3,20,0.618155523049337,0
4943,0,2,10,0.8001139457575766,0
3004,0,0,23,0.5817015079534543,0
574,2,3,3,0.43158871045322367,0
1182,0,4,2,0.6786017051775544,1
2658,2,2,1,0.4577358380180296,0
2147,0,0,19,0.9820012892088199,1
2847,2,0,9,0.5732379398083678,0
1075,2,0,12,0.9367654801263814,1
1906,2,2,19,0.45788779762253695,0
289,2,3,20,0.43244630371404347,0
2834,1,0,22,0.7318307903278161,1
3105,2,4,17,0.8455653548123243,0
4758,0,0,20,0.6967351946966629,0
1999,1,3,15,0.46085697852368157,0
1367,1,2,10,0.32652605401879725,0
1628,2,0,9,0.7328021748337036,1
3302,1,0,8,0.39172605775588376,0
3656,2,4,11,0.5402234709226318,0
3990,0,4,18,0.773049327569862,0
746,2,0,0,0.3686164084080523,0
2988,1,0,17,0.38907603584876904,0
2535,0,4,13,0.34316634511518285,0
700,2,3,21,0.9972553902347785,1
2463,0,1,20,0.5709537380211068,0
2161,0,1,0,0.9340566174142442,1
341,1,0,16,0.5055099468969975,0
2141,0,4,10,0.8272417955983471,1
2924,1,2,19,0.4533466314186652,0
2712,0,2,14,0.6488272967537752,1
1463,2,1,3,0.8772310175070457,1
1578,0,3,14,0.8714340792265578,1
2656,2,1,21,0.855996502153872,1
875,2,0,21,0.8766140891269869,1
4114,0,3,13,0.44803059691411545,0
134,2,2,21,0.6375513907922705,1
3252,0,4,0,0.639410032218011,0
2055,0,4,8,0.9233517411435388,1
1685,2,0,6,0.5078242805796002,0
4043,2,1,22,0.9520471253723337,0
3173,1,0,10,0.6155570154142693,0
1121,2,4,22,0.7688509022241932,1
3561,1,2,1,0.48821817859553407,0
2713,2,4,1,0.5872086747819151,0
3943,0,3,5,0.7968606524483983,0
1600,2,4,22,0.6589229992957065,1
4898,0,4,18,0.9514956081818335,0
261,0,3,19,0.8159874761282342,1
4397,0,1,13,0.6950820478574199,0
2081,1,4,2,0.9206688296565457,1
1095,2,0,6,0.765889472152121,1
3442,0,4,6,0.7531243313943026,0
4651,0,0,3,0.47245993320333907,0
3898,1,3,22,0.5763998758697476,0
1375,2,4,4,0.778312556822815,1
1116,2,3,16,0.9242541980382104,1
437,1,3,3,0.5208832315514407,0
978,1,1,22,0.45083993536008926,0
1176,2,4,12,0.7155871851710991,1
4987,1,0,15,0.3470379686718992,0
4093,2,0,15,0.8001791910150036,0
4959,2,4,1,0.7921969803012365,0
479,0,1,17,0.5484762216903085,0
592,0,1,0,0.9248743573414311,1
2162,2,1,17,0.6515267990773892,1
3984,2,0,7,0.7520354654850557,0
164,2,3,10,0.4467049373568365,0
2668,2,1,23,0.592138234612,0
2127,2,0,23,0.9036922781888377,1
2795,2,0,14,0.44905768334263996,0
1595,1,3,15,0.5734020643147282,0
491,2,4,16,0.522653581099691,0
4614,1,4,16,0.40577712940534605,0
4574,1,1,11,0.5028025426892748,0
3661,2,1,9,0.4629405985026517,0
2378,2,3,19,0.9465155413229291,1
3199,1,1,5,0.8187551631799572,0
300,1,3,7,0.521271107247977,0
4975,2,0,12,0.8343373372698968,0
3204,2,1,1,0.31549796712371,0
4698,1,0,18,0.6685672975397979,0
2554,1,2,21,0.4752341946142712,0
3745,1,3,9,0.3800254502659599,0
904,0,2,3,0.9186309698369419,1
2831,1,1,11,0.4395383739838008,0
2873,0,0,17,0.8756737650623976,1
1670,2,1,6,0.5892558742442398,0
2790,2,2,19,0.3100035390284902,0
3940,1,1,23,0.8127729805107176,0
1128,2,4,23,0.7174518307535576,1
602,2,2,22,0.5409203182174736,0
4593,2,1,3,0.4970821537483843,0
970,2,0,6,0.3515838766593043,0
4588,0,1,9,0.9589979163846905,0
306,0,0,14,0.64578941928446,1
1584,1,4,11,0.3598671623032756,0
963,1,1,0,0.9080758024211293,1
2890,1,4,19,0.4951832209724717,0
663,2,2,17,0.44252190101425837,0
4291,2,0,15,0.4966562068395531,0
1857,0,2,4,0.6952000210249779,1
1778,0,0,18,0.35183953914792554,0
3342,1,4,3,0.6372298363858735,0
4736,0,3,5,0.9270204115870189,0
1159,0,1,16,0.4317201170922867,0
1822,0,4,6,0.5318321405065707,0
3414,0,0,23,0.5772853755361569,0
3257,0,0,22,0.7103544980690716,0
2725,1,0,6,0.9434779725684179,1
2829,1,0,8,0.5761774457696978,0
1697,0,1,12,0.3484069884744345,0
3160,1,2,19,0.5435656030016947,0
2793,2,3,13,0.4330597888198913,0
4991,0,1,15,0.7562421351733724,0
3727,2,0,22,0.32048347641713254,0
1463,1,1,8,0.5043509797511514,0
2081,1,4,14,0.6816214550628339,1
1763,2,0,4,0.494133944234688,0
1629,1,3,17,0.6856966983416779,1
2138,0,0,20,0.3802986255310282,0
3402,2,3,19,0.9599638415927356,0
2337,0,3,7,0.5036347651309206,0
1406,2,2,14,0.9461005875729183,1
4129,1,2,20,0.5280848076529018,0
2775,2,1,8,0.8472881338210914,1
1382,2,1,18,0.4723311502228771,0
809,0,3,21,0.7688382316727208,1
4844,1,0,5,0.526601349675937,0
4513,0,4,3,0.6564113904467611,0
3848,1,4,10,0.7716699020345765,0
4879,0,0,9,0.7122177536420724,0
763,2,0,2,0.703396415298586,1
2098,0,2,0,0.34597658496033207,0
3545,1,4,11,0.4743537825201143,0
3843,1,3,22,0.7002875028995792,0
1595,2,1,14,0.3128220450510075,0
3404,1,2,14,0.47545097858118573,0
3863,0,4,20,0.4604296676018377,0
1953,2,0,13,0.47489927711258406,0
4759,1,4,6,0.6749266496966575,0
1391,1,3,16,0.7073722478134347,1
3681,0,2,23,0.9362985960609678,0
3557,0,0,18,0.5702217343183534,0
1736,2,3,6,0.948605242000188,1
3796,1,1,2,0.7563680414889191,0
3099,0,2,2,0.938862277130389,0
3252,2,3,17,0.8834304711760339,0
798,1,3,19,0.7813077103853812,1
2260,1,0,21,0.5492741296632716,0
4197,2,1,13,0.4687773133796529,0
4837,2,3,2,0.4556740048584225,0
954,0,2,6,0.9665216862193968,1
3574,1,3,6,0.9710016901905507,0
1807,1,4,4,0.8073819614670161,1
2877,1,2,2,0.918657188853534,1
1833,2,2,17,0.9432973141553422,1
3610,0,3,14,0.6580893375635185,0
302,1,0,19,0.7403417834376205,1
3355,2,2,13,0.5931281485441502,0
4318,1,4,3,0.5929435349996841,0
4596,0,0,23,0.3269002430512302,0
866,1,0,7,0.6036750223393639,1
4489,0,0,20,0.7714428680592282,0
2427,0,2,12,0.5953875162745997,0
3031,1,0,21,0.9106867738138695,0
297,1,3,7,0.5327940666849127,0
2030,0,0,14,0.3928774325925946,0
3682,2,4,16,0.8680910835103415,0
708,0,1,4,0.7717635428300144,1
3372,1,4,19,0.4692736376244072,0
1247,1,2,3,0.675515879229563,1
4382,2,0,10,0.5812966370156547,0
3497,0,0,17,0.9572018435049603,0
2611,0,3,9,0.7251324636444403,1
1894,0,0,16,0.4108724828308941,0
759,1,4,14,0.6515039168458896,1
2911,0,2,5,0.9037897827666954,1
1469,2,1,22,0.7700476690227231,1
2086,1,0,20,0.8897164532690593,1
246,1,1,15,0.4752795197059482,0
3319,0,0,14,0.9218459639332792,0
3011,2,2,7,0.8289279322769203,0
1834,1,4,8,0.8102396288066551,1
1943,1,2,10,0.5425787488344671,0
588,0,1,1,0.9213606446323697,1
3076,0,0,12,0.7465855641752515,0
2059,2,1,3,0.8962876338039616,1
2485,0,4,8,0.5526800191903902,0
3019,2,2,4,0.40195646374504956,0
4836,1,1,18,0.5326360261542256,0
1902,2,1,21,0.6186850431626277,1
4161,2,4,2,0.6733851626018447,0
3469,2,0,20,0.6575664509980762,0
362,1,1,2,0.682238214705595,1
723,0,4,5,0.8891940356560633,1
1116,1,0,9,0.4190708723317189,0
3743,0,0,4,0.5212359066182096,0
2149,2,2,2,0.9220259433048159,1
3823,2,4,21,0.6923207431908311,0
4648,2,0,23,0.7083729092587004,0
3208,2,2,6,0.6346437812297665,0
4190,2,3,21,0.6842822444902974,0
2156,0,4,17,0.4386558113920708,0
3270,0,3,22,0.6828068295926897,0
1782,2,0,7,0.9980211895377817,1
2355,1,4,0,0.696233301046929,1
1254,1,2,3,0.33108172592422125,0
4599,2,0,23,0.8575049510454618,0
3291,0,4,6,0.5775328001063713,0
1796,1,4,13,0.40757330395109326,0
4091,1,3,12,0.9037638643586838,0
4823,1,0,9,0.4385812788744773,0
4782,2,2,22,0.9445371729009733,0
1748,1,2,17,0.6092575433098237,1
1545,1,0,0,0.81995358432479,1
4299,1,0,3,0.6828970952369643,0
4023,1,1,15,0.4796387627406595,0
353,0,3,15,0.769763122147143,1
3283,2,0,17,0.9705387856231036,0
2657,2,0,7,0.8387458767539886,1
198,0,1,9,0.7228125976026247,1
2300,0,1,15,0.9934396757860997,1
3061,2,4,22,0.4857286671398793,0
4533,1,2,23,0.3436390415366132,0
3877,1,3,10,0.32249160628115175,0
2969,2,4,5,0.7974815156911588,1
3334,1,0,0,0.8811626553139194,0
3891,0,1,11,0.7445703762391687,0
1056,1,2,5,0.9335186182102388,1
4167,1,4,12,0.7885832331379443,0
260,1,2,16,0.5596682524863144,0
4593,2,1,0,0.4268808041409171,0
1400,0,4,7,0.9472532349914093,1
4087,1,4,21,0.3725180049982356,0
1627,2,2,7,0.6800918826224838,1
1318,1,1,23,0.5198055476914581,0
4596,0,0,10,0.48999050526377075,0
4835,1,4,13,0.7520843963418274,0
3204,0,0,23,0.46186585617372533,0
2835,1,1,9,0.9414555747196769,1
4655,0,4,14,0.5842307363693868,0
1054,1,4,6,0.7741627427107751,1
4665,0,0,6,0.8094290021300092,0
3546,1,3,9,0.7780591862377311,0
1145,1,0,3,0.9323801686251163,1
1793,2,0,17,0.46179160452419865,0
3536,2,3,9,0.3602381812802708,0
662,0,1,18,0.33882598808553455,0
2585,1,1,13,0.9144909053325174,1
3454,0,4,12,0.9813009349574275,0
325,2,2,14,0.5117685788432988,0
4993,0,2,15,0.7854597465024784,0
1059,0,4,1,0.30623894892022424,0
